Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1789668331,500,,Aggregated,131.800000,0.000000,670,1400,3700,4400,5300,5800,6400,6500,6800,6900,6900,5786,0,670,1771.5446638265512,3.7283999990904704,6892.434999994293,11940.93657103353
1789668332,500,,Aggregated,142.400000,0.000000,660,1400,3600,4300,5300,5700,6400,6500,6800,6900,6900,5884,0,660,1759.842864564991,3.7283999990904704,6892.434999994293,11915.808973487423
1789668333,500,,Aggregated,146.800000,0.000000,670,1400,3500,4300,5300,5700,6400,6500,6800,6900,6900,5999,0,670,1747.4496146525119,3.7283999990904704,6892.434999994293,11838.8288048008
1789668334,500,,Aggregated,145.900000,0.000000,670,1400,3500,4300,5300,5700,6400,6500,6800,6900,6900,6103,0,670,1735.9726954449393,3.7283999990904704,6892.434999994293,11761.964116008521
1789668335,500,,Aggregated,142.700000,0.000000,670,1400,3500,4200,5200,5700,6400,6500,6800,6900,6900,6220,0,670,1726.168768167282,3.7283999990904704,6892.434999994293,11688.348553054662
1789668336,500,,Aggregated,130.000000,0.000000,670,1400,3600,4300,5200,5700,6400,6500,6800,6900,6900,6400,0,670,1747.7754372813308,3.7283999990904704,6892.434999994293,11869.46703125
1789668337,500,,Aggregated,127.900000,0.000000,680,1400,3700,4300,5200,5700,6400,6500,6800,6900,6900,6617,0,680,1770.8223076017157,3.7283999990904704,6892.434999994293,12131.462445216866
1789668338,500,,Aggregated,129.000000,0.000000,670,1400,3600,4300,5200,5700,6400,6500,6800,6900,6900,6770,0,670,1757.6854567652206,3.7283999990904704,6892.434999994293,12168.471787296898
1789668339,500,,Aggregated,137.700000,0.000000,670,1400,3600,4200,5200,5600,6300,6500,6800,6900,6900,6896,0,670,1740.2596654148135,3.7283999990904704,6892.434999994293,12185.01711136891
1789668340,500,,Aggregated,144.700000,0.000000,660,1400,3500,4200,5200,5600,6300,6500,6800,6900,6900,7013,0,660,1725.8232716669888,3.7283999990904704,6892.434999994293,12148.117781263369
1789668341,500,,Aggregated,147.200000,0.000000,660,1400,3400,4100,5100,5600,6300,6500,6800,6900,6900,7169,0,660,1714.4129730786137,3.7283999990904704,6892.434999994293,12165.501743618357
1789668342,500,,Aggregated,140.200000,0.000000,660,1400,3400,4100,5100,5600,6300,6500,6800,6900,6900,7278,0,660,1710.9920997252711,3.7283999990904704,6892.434999994293,12200.982000549602
1789668343,500,,Aggregated,136.700000,0.000000,660,1400,3400,4100,5100,5600,6300,6500,6800,6900,6900,7369,0,660,1710.728534075244,3.7283999990904704,6892.434999994293,12213.789523680281
1789668344,500,,Aggregated,140.000000,0.000000,670,1400,3400,4100,5100,5600,6300,6500,6800,6900,6900,7524,0,670,1713.7872225412648,3.7283999990904704,6892.434999994293,12196.126794258373
1789668345,500,,Aggregated,137.400000,0.000000,670,1400,3500,4100,5100,5600,6300,6500,6800,6900,6900,7678,0,670,1720.6355992576898,3.7283999990904704,6892.434999994293,12249.305939046626
1789668346,500,,Aggregated,138.300000,0.000000,670,1500,3500,4100,5100,5500,6300,6500,6800,6900,6900,7802,0,670,1721.2321788388203,3.7283999990904704,6892.434999994293,12270.958087669827
